timestamp,SC01VC1T10L12,SC01VC1T10L13,SC01VC1T10L14,SC01VC01T10L14,SC01VC001T10L14,SC01VC0001T10L14,SC01VC1T80L14,SC01VC1T400L14,SC0068VC1T10L14,SC0068VC1T80L14,SC0068VC1T400L14,SC0047VC1T10L14,SC0047VC1T80L14,SC0047VC1T400L14,SC01VC1T10L14E01,SC01VC1T80L14E01,SC01VC1T400L14E01,SC01VC1T10L14E001,SC01VC1T80L14E001,SC01VC1T400L14E001,SC01VC1T10L14E0001,SC01VC1T80L14E0001,SC01VC1T400L14E0001,SC01VC1T80L14M13N23,SC01VC1T80L14M15N30,SC01VC1T80L14M20N40,SC0047VC1T80L14M13N23,SC01VC1T10L14M13N23,SC01VC1T400L14M13N23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.292,0.292,0.292,0.904,0.979,0.984,0.29,0.288,0.195,0.196,0.197,0.13,0.137,0.137,0.302,0.302,0.299,0.348,,,0.473,0.539,0.463,0.558,0.555,0.548,0.572,0.449,0.496
3,0.373,0.363,0.363,0.972,1.032,1.035,0.351,0.35,0.249,0.249,0.25,0.185,0.188,0.188,0.375,0.364,0.363,0.432,,,0.603,0.685,0.855,1.016,0.917,0.811,0.855,0.604,0.996
4,0.444,0.405,0.405,1.01,1.042,1.047,0.394,0.393,0.296,0.292,0.293,0.229,0.234,0.233,0.418,0.407,0.407,0.489,,,0.66,0.746,0.951,1.193,1.03,0.873,0.97,0.687,1.23
5,0.508,0.442,0.442,1.029,1.05,1.056,0.432,0.432,0.336,0.331,0.331,0.266,0.272,0.272,0.457,0.45,0.45,0.531,,,0.696,0.78,0.989,1.281,1.098,0.906,1.037,0.735,1.336
6,0.564,0.476,0.476,1.045,1.056,1.063,0.467,0.467,0.372,0.368,0.368,0.302,0.308,0.308,0.487,0.482,0.488,0.566,,,0.718,0.806,1.017,1.333,1.131,0.932,1.063,0.763,1.397
7,0.618,0.51,0.51,1.058,1.062,1.069,0.501,0.5,0.406,0.402,0.403,0.335,0.341,0.341,0.516,0.511,0.522,0.593,,,0.739,0.828,1.042,1.356,1.152,0.956,1.083,0.786,1.422
8,0.667,0.542,0.542,1.069,1.067,1.075,0.534,0.534,0.438,0.43,0.431,0.365,0.372,0.372,0.548,0.542,0.552,0.617,,,0.76,0.851,1.065,1.37,1.165,0.979,1.097,0.808,1.438
9,0.713,0.57,0.57,1.079,1.071,1.081,0.563,0.562,0.467,0.457,0.459,0.393,0.399,0.401,0.575,0.569,0.578,0.638,,,0.782,0.872,1.089,1.381,1.178,1.001,1.111,0.83,1.449
10,0.758,0.596,0.596,1.086,1.076,1.086,0.589,0.589,0.496,0.485,0.486,0.42,0.399,0.427,0.6,0.594,0.602,,,,,0.893,1.112,1.391,1.192,1.023,1.124,0.852,1.459
